@relation training

@attribute feat_1 numeric
@attribute feat_2 numeric
@attribute class {class_1,class_2,class_3}

@data
7.695589,2.050228,class_3
8.391465,2.351553,class_3
7.837546,2.597383,class_3
8.513413,2.369548,class_3
8.691199,3.33227,class_3
8.261554,2.949939,class_3
5.908357,1.662592,class_3
8.40522,3.403012,class_3
9.195562,4.499496,class_3
8.675406,4.046419,class_3
9.429025,3.920031,class_3
9.270533,3.918258,class_3
9.558463,4.215277,class_3
9.282669,4.36815,class_3
9.421005,4.727733,class_3
9.1582,4.505039,class_3
1.094628,0.494896,class_1
2.721152,0.414196,class_1
1.452022,0.450502,class_1
1.905875,0.504028,class_1
-0.572197,0.618091,class_1
3.661336,0.719939,class_1
1.880532,0.460471,class_1
-3.793516,4.533136,class_1
-2.150735,3.752293,class_1
-2.388785,3.530811,class_1
-2.45471,3.781094,class_1
-1.801108,3.430779,class_1
-1.98603,3.459089,class_1
8.5329,5.078984,class_3
8.906104,4.710589,class_3
8.722756,4.518293,class_3
4.276562,4.71605,class_3
4.75153,4.685754,class_3
8.057216,3.411363,class_3
-8.985885,0.175166,class_1
-8.953944,0.174769,class_1
-8.940027,0.18231,class_1
-8.975538,0.18451,class_1
-8.981891,0.192331,class_1
0,0,class_1
5.132397,0.080014,class_1
5.147805,0.080826,class_1
-1.152896,0.082522,class_1
-1.764501,0.098398,class_1
-1.893463,0.078561,class_1
-3.525918,0.096308,class_1
-5.599628,1.522953,class_1
-6.498795,1.113536,class_1
-6.483599,0.851971,class_1
-6.395758,0.875644,class_1
-6.47406,0.998213,class_1
-6.428182,0.902684,class_1
0.934033,0.446332,class_2
2.480491,0.965641,class_2
2.43054,0.971596,class_2
2.713048,0.981274,class_2
2.827208,1.013541,class_2
3.4867,0.885411,class_2
-0.757088,0.122205,class_1
-1.356642,0.122662,class_1
-1.720131,0.107463,class_1
-4.015701,0.207144,class_1
-5.148953,0.13357,class_1
-3.71306,0.101209,class_1
-1.736279,1.526178,class_1
-1.256083,1.338643,class_1
-1.959491,1.109363,class_1
-2.559542,0.935488,class_1
-1.598235,1.099553,class_1
-1.814056,1.018387,class_1
9.250286,3.166396,class_3
9.220326,3.37387,class_3
8.934197,2.607723,class_3
8.802948,2.511176,class_3
8.622867,2.307792,class_3
8.642374,1.952581,class_3
8.63319,1.845033,class_3
8.575651,1.45858,class_3
8.352117,1.381656,class_3
8.372931,1.377149,class_3
8.539,1.639918,class_3
8.621273,1.614307,class_3
5.563229,0.096843,class_3
5.542014,0.103332,class_3
5.889015,0.11138,class_3
8.076173,0.11537,class_3
8.041929,0.118039,class_3
-3.67588,0.121541,class_1
-4.934134,0.177859,class_1
-4.277617,0.151519,class_1
-3.764917,0.128008,class_1
-3.910737,0.138747,class_1
-1.242312,0.124918,class_1
-6.191003,0.899012,class_1
-7.043173,0.882084,class_1
-7.190417,0.938664,class_1
-6.84304,0.994875,class_1
-6.868382,0.939926,class_1
-6.868951,0.850466,class_1
-2.588431,0.07696,class_1
-2.610567,0.074307,class_1
-2.721293,0.075966,class_1
-2.804827,0.075468,class_1
-2.133739,0.102392,class_1
-0.723899,0.082275,class_1
-2.472794,3.475882,class_1
-2.87125,4.207215,class_1
-2.956331,3.968114,class_1
-3.095421,4.111551,class_1
-3.115363,4.203098,class_1
-3.459377,3.889573,class_1
4.641147,0.297949,class_2
2.149719,0.91536,class_2
3.028644,1.054742,class_2
1.393421,1.248467,class_2
0.811376,1.306951,class_2
1.486471,1.230351,class_2
-3.091211,0.255934,class_1
-3.073668,0.227795,class_1
-2.74706,0.203085,class_1
-2.866823,0.230713,class_1
-3.700602,0.082299,class_1
-1.688272,1.371627,class_1
-1.181495,1.089312,class_1
-1.043812,1.060783,class_1
0.432961,1.062306,class_1
-1.321176,1.232645,class_1
5.237733,0.830574,class_3
8.2876,1.330947,class_3
7.687701,1.56572,class_3
8.64775,1.692172,class_3
8.653401,1.895857,class_3
8.475057,2.125772,class_3
8.661068,1.980156,class_3
8.350921,1.957847,class_3
8.357984,2.060201,class_3
8.521459,2.087281,class_3
5.257477,1.797085,class_3
5.732768,0.253162,class_3
6.947294,1.403987,class_3
6.911388,1.453788,class_3
6.896213,1.532253,class_3
6.805234,1.627664,class_3
-0.684475,0.096711,class_3
0.436667,0.140445,class_3
2.249607,0.132485,class_3
2.379158,0.114699,class_3
2.20204,0.123006,class_3
-0.848999,0.209992,class_1
2.060446,0.146582,class_1
2.321628,0.156424,class_1
2.233262,0.186151,class_1
2.296684,0.205501,class_1
2.726099,0.114423,class_1
-3.579028,3.114685,class_1
-3.134257,3.2182,class_1
-3.066726,3.460314,class_1
-2.995876,3.1778,class_1
-2.663808,3.245388,class_1
2.15606,0.09802,class_1
2.750177,0.09196,class_1
2.526181,0.088362,class_1
2.51673,0.090954,class_1
2.511998,0.095573,class_1
0.99412,0.093752,class_1
-1.300161,4.062922,class_1
-1.586532,3.438149,class_1
-1.913104,3.226072,class_1
-1.680097,3.218615,class_1
